dataset,method,method_label,group,completed,expected,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_ap_mean,test_ap_std,precision_mean,precision_std,recall_mean,recall_std,val_f1_mean,val_f1_std
Meta,logreg,Logistic Regression,Raw tabular,5,5,0.9652900938051219,0.006952545627476502,0.984549356223176,0.005158394701035611,0.970368921245392,0.018960621647859357,0.9840887000828934,0.009949062978939906,0.9472527472527472,0.008332830158298426,0.9775498750066673,0.003463457191174137
Meta,mlp,MLP,Raw tabular,5,5,0.9677445667925823,0.007915037065286533,0.9879545347356506,0.0038180081703755153,0.9854362701708472,0.01189502255093315,0.964363861401065,0.01783257244264969,0.9714285714285714,0.011911804059713624,0.9751789891441871,0.016742385720620697
Meta,rf,Random Forest,Raw tabular,5,5,0.9822674774024667,0.0031104799535038225,0.9917346601895958,0.003020685267568945,0.9942145693492328,0.002155165120255489,0.9911599511599511,0.009208891258467099,0.9736263736263736,0.0071639586870358525,0.9894397590516388,0.003618383737209563
Meta,lightgbm,LightGBM,Raw tabular,5,5,0.9807539742391632,0.009256514261016122,0.991215865679385,0.0036366303682229136,0.9940866161085119,0.002285357373707538,0.982528813348259,0.014453109154528599,0.9791208791208791,0.011260385457098468,0.991110906474035,0.0030711357234653545
Meta,gcn,GCN,GNN,5,5,0.9148270698235612,0.02479240509935187,0.9797575814743197,0.004907731798127505,0.9782998902962412,0.006150083467700511,0.9108781530656166,0.04140145446527705,0.9208791208791209,0.042311260017974646,0.9694530988856513,0.010261979296688373
Meta,gat,GAT,GNN,5,5,0.9676418776393658,0.008047912966518132,0.9918360609347734,0.0034638587229728905,0.9926014025080008,0.0024631059262392057,0.967475134538056,0.019051149794252504,0.9681318681318681,0.012529400275814697,0.986764441732688,0.002340696768347281
Meta,graphsage,GraphSAGE,GNN,5,5,0.9692435786289058,0.014955549021894166,0.9922652454841296,0.003187832123202027,0.9933280957398273,0.003089993205795622,0.9686232948086396,0.02076920817131771,0.9703296703296703,0.023504669929898248,0.9867431984148065,0.0035810088494833466
Meta,care_gnn,CARE-GNN,Generic Fraud GNN,5,5,0.9662951785971826,0.008746143090049414,0.9925010611705891,0.0031600181882595352,0.9932042815421751,0.003423629996067243,0.9713232004315674,0.012511310974262776,0.9615384615384616,0.016019098612212356,0.9855396849245187,0.00501732341694246
Meta,graphconsis_gnn,GraphConsis,Generic Fraud GNN,5,5,0.9674573772734337,0.011309499232349758,0.991925670895628,0.0037810234475736206,0.9919379775582629,0.0041223312332294565,0.9713170224428628,0.013925041024645165,0.9637362637362638,0.013791099338473773,0.986700378341804,0.0035891684407138567
Meta,pc_gnn,PC-GNN,Generic Fraud GNN,5,5,0.9850949076643778,0.006569751939402252,0.9954063104277697,0.002622404030639749,0.9964719560794775,0.0019695520066707836,0.9913137502252658,0.01403716583991416,0.9791208791208791,0.009828870230768328,0.9961279969549871,0.0031577168655992647
Meta,zipzap,ZipZap,Ethereum SOTA,5,5,0.9482076231502143,0.0059058174080945415,0.9902985426590577,0.0019544696584966803,0.9896945581304348,0.0027633316978339104,0.9423821623197356,0.024538659413761613,0.954945054945055,0.021421526032547187,0.9670951926759238,0.008605043396003596
Meta,lmae4eth,LMAE4Eth,Ethereum SOTA,5,5,0.9770624518269434,0.007206320405974704,0.9928217705041739,0.002448262033734484,0.9945888500671032,0.0018530956280786274,0.9729981133409485,0.015463391845134645,0.9813186813186813,0.007371652673076262,0.979579477069956,0.00697628081822356
Meta,bert4eth,BERT4ETH,Ethereum SOTA,5,5,0.9628691280401843,0.009462999821227008,0.9919351035230863,0.0030427534788983524,0.9916594290666636,0.003186475432164217,0.9578078496498196,0.01564903293353508,0.9681318681318681,0.010568892341577624,0.978005122611784,0.004702570516223992
Meta,tlmgnn,TLmGNN,Ethereum SOTA,5,5,0.9781567571682299,0.006678292270939815,0.9937556006225534,0.0030001650130576513,0.995213523431073,0.0020398086883010604,0.9752745116044336,0.018661460672662403,0.9813186813186813,0.007371652673076262,0.9857434732359228,0.002312486276864083
Meta,bwgnn,BWGNN,Graph Anomaly SOTA,5,5,0.9737834592644208,0.01190673920390733,0.9945290760741405,0.0021294691831785996,0.9947678176609178,0.0018222132837754168,0.9697089018792511,0.017746503465323537,0.978021978021978,0.010989010989010978,0.9802338672970397,0.003497894833171298
Meta,ours,Ours,Proposed,5,5,0.973185275952487,0.009422477943195375,0.9944206008583691,0.002490932604421699,0.9953998070369627,0.0020770626867425233,0.9706662663267265,0.015367143484885994,0.9758241758241758,0.008332830158298422,0.9889741588102244,8.160954671754644e-05
Meta,ours_imbalance,Ours+Imbalance,Proposed,5,5,0.9856596020625009,0.005991794208951352,0.9943640050936189,0.0020358147265100513,0.9957377343326138,0.0015831133539024706,0.9889437990839268,0.005517748586657572,0.9824175824175824,0.008149668667138104,0.9939363332130786,0.0036029548131156163
ZipZap,logreg,Logistic Regression,Raw tabular,5,5,0.6322951924367181,0.011072051260536089,0.7184703194485165,0.01436827853313987,0.4844349285899566,0.01991189689674921,0.5208676775478092,0.01208903558871153,0.8047876602564102,0.019666975745313287,0.626077497285729,0.010552764793790755
ZipZap,mlp,MLP,Raw tabular,5,5,0.6609406572712752,0.010022942357801181,0.8313837048187429,0.009945344807079513,0.7201691556978829,0.015361161097952533,0.542789088593424,0.048558117048869164,0.8576919681660148,0.07356677385836204,0.6608944296274859,0.010736294610415002
ZipZap,rf,Random Forest,Raw tabular,5,5,0.7026443816999116,0.01022955655109986,0.8801670436247002,0.011864391399840482,0.7960933496423376,0.02241207610177678,0.5852034894621383,0.006916930358652852,0.8796087299000435,0.02925243444452012,0.7042286871687977,0.007678179656859613
ZipZap,lightgbm,LightGBM,Raw tabular,5,5,0.7302810492848261,0.007394674878854308,0.8976901421310528,0.007815337585877834,0.8276241571816919,0.01527331855555238,0.7289200061147121,0.015356128678899548,0.7326169328552803,0.027607484917875097,0.7374261234492175,0.006462467622516766
ZipZap,gcn,GCN,GNN,5,5,0.7978449542800415,0.01896266452602898,0.9289892840643769,0.009273850931391858,0.8717108340335606,0.016600148329602993,0.7473310776385991,0.031327962581392595,0.8563922615167319,0.01350858756989735,0.8227601344816263,0.007649407368212868
ZipZap,gat,GAT,GNN,5,5,0.8790531661294972,0.007319556930692839,0.9668422296958031,0.00560503894849557,0.9375031290863403,0.009029706735927874,0.8470427652641024,0.02305431183374265,0.9145144094958714,0.02263518476857926,0.8958129787238748,0.007672599887847994
ZipZap,graphsage,GraphSAGE,GNN,5,5,0.8874815214861322,0.006353232508499802,0.9735269247074386,0.0015046700534455002,0.9478531653582849,0.0025134732725750424,0.8682700861358019,0.00908207858807778,0.9077408599521947,0.013979386259097143,0.9005169838699552,0.006346108164255878
ZipZap,care_gnn,CARE-GNN,Generic Fraud GNN,5,5,0.882535384273247,0.006313735464192922,0.9725996567505417,0.002746783447309855,0.9479768122559417,0.0033921023213844426,0.8513448237624074,0.014298121671424661,0.9166089471968709,0.020420857929440876,0.8948772414674175,0.003683960103737931
ZipZap,graphconsis_gnn,GraphConsis,Generic Fraud GNN,5,5,0.8860504286259642,0.0070216726793696305,0.9730523164774113,0.0026422032779649294,0.9463201656880946,0.005151847863339136,0.8605127306879902,0.020954836487906824,0.913997650478053,0.02360313066480813,0.8991981664030558,0.005106659364763072
ZipZap,pc_gnn,PC-GNN,Generic Fraud GNN,5,5,0.9234811164992027,0.007044526787794778,0.9857561935261364,0.0019847048404860144,0.9749227815341535,0.0023533161422272723,0.9239127938326993,0.01726137608818808,0.9236497039330726,0.022052271983411687,0.9374048150725083,0.006461805733412719
ZipZap,zipzap,ZipZap,Ethereum SOTA,5,5,0.8424848653820193,0.006832171407739629,0.9509810501782588,0.00815178714540321,0.9152350165643175,0.018323582840161227,0.8222431879085907,0.027980946476531775,0.8647313667970448,0.016486652978459877,0.8548223087551508,0.008041218658528597
ZipZap,lmae4eth,LMAE4Eth,Ethereum SOTA,5,5,0.8884129569163937,0.0033206170197365935,0.9752422114762833,0.0018505266878586608,0.9570447649975022,0.003806593139280755,0.8770141918725933,0.014063007829859218,0.9004407051282052,0.01336745473701094,0.8985352907019772,0.006586122261344621
ZipZap,bert4eth,BERT4ETH,Ethereum SOTA,5,5,0.8456833887298294,0.005350458955263324,0.9578602407828612,0.0026384800772960124,0.9284844513735456,0.002507037570574335,0.8359053319644812,0.02324466374773851,0.8563973544111256,0.015239259482131534,0.8603748149849884,0.012136195757451196
ZipZap,tlmgnn,TLmGNN,Ethereum SOTA,5,5,0.8953270305242563,0.005801407045996618,0.9782526455447645,0.0025408317210845245,0.9606285980450424,0.004684912687494457,0.8836868148501427,0.01586919359346687,0.9080039928292047,0.02486737545215436,0.9107856474210803,0.008093268317505968
ZipZap,bwgnn,BWGNN,Graph Anomaly SOTA,5,5,0.890916330772023,0.006122172219839915,0.9710679499975867,0.0024479653821837333,0.9498993974157545,0.006412807470468652,0.8689253842882916,0.022157095225058994,0.9147755052151239,0.018597344963975148,0.9034952612742496,0.006454550826938831
ZipZap,ours,Ours,Proposed,5,5,0.9056748477093386,0.007488728068911092,0.9819226515502496,0.002241592391539062,0.9652293552765558,0.002805985311849821,0.8932286949956431,0.010008674377341929,0.9186912619513256,0.01618787899806955,0.9181566048694525,0.004706505388213491
ZipZap,ours_imbalance,Ours+Imbalance,Proposed,5,5,0.9290931585270902,0.007474826851751559,0.987132013918957,0.0023182304356922654,0.9775650976570774,0.0027606382384655214,0.9242744004250417,0.00971138683954289,0.9340684077574968,0.011781781757775075,0.9415129637146143,0.006650872759328937
Illicit-ETH,logreg,Logistic Regression,Raw tabular,5,5,0.7636085978193871,0.05007947594616425,0.8411231083844581,0.023781290392012253,0.7986234516391266,0.01816486905681676,0.715143624871729,0.10498798625041905,0.8460122699386503,0.11875167759620552,0.7690642351098399,0.0318092712318849
Illicit-ETH,mlp,MLP,Raw tabular,5,5,0.8821703014179745,0.019031850202367768,0.945721881390593,0.011934400539401948,0.9220340005531367,0.014987778903376459,0.8442719231299043,0.028274584614476798,0.9239263803680982,0.011760913811460626,0.8819116367601159,0.022535497846361576
Illicit-ETH,rf,Random Forest,Raw tabular,5,5,0.9389183464515098,0.006112946457760828,0.9891885480572598,0.0017645870641107779,0.9877990874866583,0.0021294945334472534,0.9259073545457244,0.015619214083627096,0.952760736196319,0.018983740425479526,0.9541356421260329,0.004286310531869037
Illicit-ETH,lightgbm,LightGBM,Raw tabular,5,5,0.9525993464217337,0.01422578104471838,0.9933251533742331,0.0029860548276518773,0.9926880876959209,0.0030108142826279624,0.9393575609857816,0.025883561836744364,0.9668711656441717,0.02205604664079455,0.9640928937749961,0.004722055768698679
Illicit-ETH,gcn,GCN,GNN,5,5,0.8869502839509399,0.01678023618875536,0.9518838445807771,0.012101809797597025,0.9548230491056771,0.010265366376669237,0.8960036292348696,0.030865313043268484,0.8797546012269939,0.03888573733814896,0.9182697715180895,0.0192250519592245
Illicit-ETH,gat,GAT,GNN,5,5,0.9339249531657071,0.005055060941313306,0.9845775051124744,0.0037568487064885744,0.9845930450578665,0.0031245696228046132,0.9444935483789036,0.012869581128094042,0.9239263803680982,0.01699619040146634,0.9504578883159025,0.0054992424617197316
Illicit-ETH,graphsage,GraphSAGE,GNN,5,5,0.9452202754830442,0.003633181885292935,0.9852498977505113,0.0028502045998514344,0.9862387518359785,0.0016725168774835138,0.9428152472815041,0.01905490370760474,0.9484662576687116,0.02542498869337679,0.9717401197136382,0.003031585684301819
Illicit-ETH,care_gnn,CARE-GNN,Generic Fraud GNN,5,5,0.9458919891536355,0.005271756315955877,0.984160327198364,0.005388145951477821,0.9820871090626297,0.00799743365437692,0.9350696821003731,0.03082812275991108,0.9582822085889571,0.024692775211654118,0.9661206642603202,0.005609799359664793
Illicit-ETH,graphconsis_gnn,GraphConsis,Generic Fraud GNN,5,5,0.9484720907684162,0.009363818568881358,0.9859664621676891,0.0030100949113906197,0.9875267720064071,0.002580514145436357,0.9437853868258302,0.02352898570514865,0.9539877300613497,0.02305720303431427,0.9709909776478232,0.005711093605239322
Illicit-ETH,pc_gnn,PC-GNN,Generic Fraud GNN,5,5,0.9718048939632412,0.008344463570274754,0.9912081799591003,0.0048034938905517285,0.9933329738589706,0.0031173176078427532,0.9696606474291387,0.011325961097064213,0.9742331288343559,0.01848143598943814,0.9880690879870379,0.003628362557196959
Illicit-ETH,zipzap,ZipZap,Ethereum SOTA,5,5,0.9083029636207921,0.012985741676047985,0.9637971370143149,0.00765926922429047,0.961490349808343,0.00927079645824069,0.9091987882619798,0.024132004094026153,0.9079754601226994,0.019400476442750822,0.9264868356406117,0.012348266792798743
Illicit-ETH,lmae4eth,LMAE4Eth,Ethereum SOTA,5,5,0.9418441350875114,0.014303342113366093,0.9888768916155419,0.004107412336726977,0.9886209571425213,0.003473725157980032,0.9420299713821004,0.028642215711336808,0.9423312883435583,0.019569494365320936,0.9656695544169882,0.006804329171049696
Illicit-ETH,bert4eth,BERT4ETH,Ethereum SOTA,5,5,0.9096434102621468,0.00845879432305422,0.9731820040899796,0.001985338593542253,0.9746077666685496,0.0015549809442579362,0.9238523392271404,0.02090306906601875,0.8969325153374234,0.03041299278023421,0.9345354132917134,0.009808850461528741
Illicit-ETH,tlmgnn,TLmGNN,Ethereum SOTA,5,5,0.9529076464433895,0.009102036311074656,0.992759100204499,0.001979950609317797,0.9923445531613291,0.0018803992006669712,0.9543495565257724,0.014258410980068501,0.9521472392638037,0.02774335964317795,0.9687406981726308,0.007222575450380544
Illicit-ETH,bwgnn,BWGNN,Graph Anomaly SOTA,5,5,0.9500831040644044,0.009861225156281558,0.9838674846625767,0.004463011659664498,0.9793408275251397,0.009211487955945567,0.9534107414009375,0.014267556338256212,0.947239263803681,0.022893384241773364,0.9647975427755381,0.00564468297947007
Illicit-ETH,ours,Ours,Proposed,5,5,0.9627856105757432,0.008117066663445128,0.9886985685071575,0.0065816517191388734,0.9906357385823664,0.005586639581385213,0.9639213880459802,0.0099620738885499,0.9619631901840491,0.02018488819185531,0.9766862226424052,0.0020044197834644902
Illicit-ETH,ours_imbalance,Ours+Imbalance,Proposed,5,5,0.970008057637473,0.006083024195310199,0.9913104294478529,0.004404356914033781,0.9911903098387945,0.006484591813930793,0.9666915798309451,0.010010644833237995,0.9736196319018405,0.017298002674689204,0.9880246902430265,0.0029929038344736294
EPSD-Ponzi,logreg,Logistic Regression,Raw tabular,5,5,0.4558750798810814,0.020965740426849695,0.8295768495768496,0.014341734731457816,0.5168404702414221,0.05862408241501003,0.399236684168191,0.08709223724659196,0.595959595959596,0.16505186503402214,0.48468670275097847,0.04998140903837096
EPSD-Ponzi,mlp,MLP,Raw tabular,5,5,0.5137138439498741,0.04274532792549356,0.8304795704795706,0.02763250286605726,0.5426946963585237,0.04915656789374213,0.47937745653314273,0.07985719744419188,0.5696969696969697,0.06723055067593431,0.546619825108312,0.0388194356535914
EPSD-Ponzi,rf,Random Forest,Raw tabular,5,5,0.5922954354689856,0.07401383068224864,0.8878769678769679,0.016755275950734547,0.6870996580032837,0.04446297025076917,0.7379292777944261,0.08813967370267815,0.501010101010101,0.08823219313908064,0.6089843100267744,0.03901012468685165
EPSD-Ponzi,lightgbm,LightGBM,Raw tabular,5,5,0.6347365988237231,0.04044732076009559,0.8864118664118664,0.025101810077325242,0.7107979038188038,0.05112969078200252,0.7357877033297631,0.0725053179543233,0.5636363636363636,0.06600528990991734,0.6480197748171542,0.05051076730657874
EPSD-Ponzi,gcn,GCN,GNN,5,5,0.544046971660923,0.04775435136875929,0.8520811720811721,0.02834104473199304,0.6070976325015945,0.050151615042402585,0.48648420027488126,0.07013825835003472,0.6323232323232323,0.08224728479120115,0.5963269056320978,0.0602660746637849
EPSD-Ponzi,gat,GAT,GNN,5,5,0.5633978169942931,0.049765405454937184,0.8725780325780326,0.03292052375477469,0.6381224081286375,0.08769585795299288,0.5337603316550766,0.06612967728716289,0.604040404040404,0.07227694472726591,0.6319296223538604,0.05554281728711418
EPSD-Ponzi,graphsage,GraphSAGE,GNN,5,5,0.6034522827674715,0.05077429826389931,0.8907926107926109,0.019659156381098136,0.6901877592470034,0.061432020808471925,0.6112603181230633,0.047468004695924854,0.6,0.07908516820631667,0.6513777106282541,0.05660802721644842
EPSD-Ponzi,care_gnn,CARE-GNN,Generic Fraud GNN,5,5,0.59687344964511,0.029441751754762435,0.8929766129766129,0.020021184787301645,0.6987032500361192,0.052001365053118656,0.5886324627536953,0.12478591163500093,0.6363636363636364,0.08949517750843107,0.6495773411801191,0.04696594118561918
EPSD-Ponzi,graphconsis_gnn,GraphConsis,Generic Fraud GNN,5,5,0.6080541393644208,0.05244194041613077,0.8919610519610519,0.021680654325667223,0.6909820497782023,0.05576388362168895,0.6355986994072808,0.08007086161292323,0.5878787878787879,0.059071480877630124,0.6509229110679244,0.04792204647566615
EPSD-Ponzi,pc_gnn,PC-GNN,Generic Fraud GNN,5,5,0.6182054969783459,0.0750978075262622,0.8972026572026572,0.01937066164726163,0.72663579946116,0.06220931250036595,0.6612340533030188,0.07318215793699645,0.5939393939393939,0.1167966829863617,0.7130696192289614,0.03421505755459967
EPSD-Ponzi,zipzap,ZipZap,Ethereum SOTA,5,5,0.45010813121360044,0.032837987918360616,0.7377268177268178,0.02242169983903411,0.43169673403736086,0.0434656547576505,0.4334842080035898,0.004050666035583954,0.4727272727272727,0.07085122390606136,0.5196700414481077,0.05140845851541786
EPSD-Ponzi,lmae4eth,LMAE4Eth,Ethereum SOTA,5,5,0.5708241867961926,0.028900446260252982,0.8710455910455911,0.0156722162762157,0.6007808750543794,0.04104984949608846,0.5738678365808183,0.0784591700923734,0.5777777777777777,0.045956820873039705,0.6151650581870626,0.07703292772681718
EPSD-Ponzi,bert4eth,BERT4ETH,Ethereum SOTA,5,5,0.4387565627426479,0.028550077196413524,0.7421785421785422,0.018219887461597185,0.43130271453471436,0.026061493182526742,0.46034421195458114,0.063251550658087,0.42828282828282827,0.05560145028090055,0.5201424210459521,0.06382770779326749
EPSD-Ponzi,tlmgnn,TLmGNN,Ethereum SOTA,5,5,0.597492619000971,0.013078238912656113,0.8869687869687869,0.013466380901216483,0.6592813277666553,0.03754245008549915,0.5698702838128613,0.045867409383264314,0.6363636363636364,0.06507120569053094,0.6590078912796715,0.058258818498539935
EPSD-Ponzi,bwgnn,BWGNN,Graph Anomaly SOTA,5,5,0.594310665157172,0.05972896232606346,0.8862608062608063,0.01275467222060861,0.6486562213966174,0.04475389862932613,0.5826705058717254,0.07182715833981555,0.6141414141414141,0.08642121065134316,0.6323101702801808,0.04444117583871024
EPSD-Ponzi,ours,Ours,Proposed,5,5,0.6484877170828207,0.04421365806238417,0.9052106652106653,0.020589853612197374,0.7326617261935797,0.05883912072096563,0.7271810298123249,0.08049249299866443,0.591919191919192,0.07092319063249276,0.7014733069232221,0.05433795196898826
EPSD-Ponzi,ours_imbalance,Ours+Imbalance,Proposed,5,5,0.6868151807715857,0.03523957525025031,0.9146382746382746,0.021032841406438504,0.7643174991332308,0.0494799321791176,0.7379119998167617,0.06658922192115713,0.6464646464646465,0.04844274265972443,0.7510680577348724,0.030687102830940297
